F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
2 of 3,9 of 9,12 of 29,2 of 2,11 of 11,10 of 28,0 of 2,5 of 7,7 of 37,2 of 4,6 of 8,4 of 34,0:36,1,0,0%,0 of 1,27 of 45,56%,23 of 41,0,1:17,0,0,50%,1 of 2,15 of 49,26%,12 of 46,0,3,http://ufcstats.com/fight-details/7af604e5aa43bb3b
0 of 0,0 of 0,5 of 18,0 of 0,0 of 0,5 of 18,11 of 12,0 of 0,6 of 13,0 of 0,1 of 1,16 of 24,0:00,0,0,---,0 of 0,9 of 22,27%,5 of 18,0,4:27,0,0,60%,3 of 5,52 of 73,68%,17 of 25,0,1,http://ufcstats.com/fight-details/e54fe354981fe3e7
0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,2 of 5,20 of 40,0 of 0,2 of 4,0 of 0,0 of 0,22 of 44,0:00,0,0,---,0 of 0,2 of 5,40%,2 of 5,0,0:23,0,0,---,0 of 0,26 of 50,50%,22 of 44,1,2,http://ufcstats.com/fight-details/e54fe354981fe3e7
0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,7 of 12,0 of 0,0 of 0,0 of 0,0 of 0,7 of 12,0:33,0,0,0%,0 of 1,10 of 10,100%,1 of 1,0,3:52,0,0,---,0 of 0,34 of 41,58%,7 of 12,0,1,http://ufcstats.com/fight-details/109674a1ee00f55d
0 of 1,0 of 0,1 of 2,0 of 0,0 of 0,1 of 3,4 of 8,8 of 10,2 of 6,5 of 5,3 of 3,6 of 16,0:00,0,0,0%,0 of 1,8 of 12,33%,1 of 3,0,4:28,0,0,100%,2 of 2,47 of 62,58%,14 of 24,0,2,http://ufcstats.com/fight-details/109674a1ee00f55d
0 of 0,1 of 1,10 of 32,1 of 1,1 of 1,9 of 31,1 of 2,0 of 1,19 of 33,7 of 8,2 of 2,11 of 26,0:00,0,0,---,0 of 0,14 of 36,33%,11 of 33,0,1:31,0,0,100%,1 of 1,38 of 59,55%,20 of 36,0,3,http://ufcstats.com/fight-details/109674a1ee00f55d
0 of 0,11 of 17,10 of 26,5 of 5,9 of 13,7 of 25,7 of 11,11 of 15,8 of 16,4 of 4,11 of 15,11 of 23,0:45,0,0,0%,0 of 2,28 of 52,48%,21 of 43,0,0:58,0,0,0%,0 of 2,26 of 42,61%,26 of 42,1,1,http://ufcstats.com/fight-details/0c5640433ba44a1b
0 of 0,4 of 7,7 of 19,1 of 1,1 of 1,9 of 24,0 of 0,3 of 4,2 of 9,0 of 1,1 of 1,4 of 11,0:01,0,0,---,0 of 0,12 of 27,42%,11 of 26,1,3:03,0,0,40%,2 of 5,12 of 20,38%,5 of 13,0,1,http://ufcstats.com/fight-details/530fb0d1a26fc57a
1 of 1,1 of 1,6 of 11,1 of 1,2 of 2,5 of 10,12 of 15,0 of 0,2 of 7,0 of 0,1 of 1,13 of 21,0:00,0,0,---,0 of 0,12 of 18,61%,8 of 13,0,4:34,0,2,100%,1 of 1,44 of 55,63%,14 of 22,0,2,http://ufcstats.com/fight-details/530fb0d1a26fc57a
0 of 0,2 of 3,2 of 8,0 of 0,0 of 0,4 of 11,3 of 5,0 of 0,1 of 1,1 of 1,0 of 0,3 of 5,0:42,0,0,50%,1 of 2,4 of 11,36%,4 of 11,0,1:40,0,1,0%,0 of 2,14 of 17,66%,4 of 6,0,3,http://ufcstats.com/fight-details/530fb0d1a26fc57a
0 of 0,8 of 11,10 of 21,0 of 0,3 of 4,15 of 28,43 of 57,0 of 0,3 of 12,0 of 0,0 of 2,46 of 67,0:00,0,0,---,0 of 0,19 of 36,56%,18 of 32,0,1:13,0,0,50%,1 of 2,50 of 73,66%,46 of 69,0,1,http://ufcstats.com/fight-details/318460613b6018e9
0 of 0,0 of 0,32 of 59,5 of 5,19 of 28,8 of 26,0 of 0,0 of 0,31 of 78,11 of 11,4 of 7,16 of 60,0:00,0,0,---,0 of 0,32 of 59,54%,32 of 59,0,0:00,0,0,---,0 of 0,31 of 78,39%,31 of 78,0,1,http://ufcstats.com/fight-details/bee780601ad13583
0 of 0,2 of 3,38 of 67,8 of 8,15 of 23,17 of 39,0 of 0,2 of 3,38 of 90,12 of 12,1 of 1,27 of 80,0:00,0,0,---,0 of 0,40 of 70,57%,40 of 70,0,0:00,0,0,---,0 of 0,40 of 93,43%,40 of 93,0,2,http://ufcstats.com/fight-details/bee780601ad13583
1 of 2,1 of 1,13 of 35,2 of 2,4 of 5,9 of 31,3 of 3,28 of 39,20 of 43,2 of 2,7 of 10,42 of 73,0:06,0,0,---,0 of 0,15 of 38,39%,15 of 38,1,0:05,0,0,---,0 of 0,51 of 85,60%,51 of 85,1,1,http://ufcstats.com/fight-details/652a73f4bf7f1932
0 of 0,10 of 11,2 of 5,2 of 2,8 of 9,2 of 5,5 of 6,10 of 14,3 of 3,6 of 6,3 of 4,9 of 13,0:41,0,0,0%,0 of 3,13 of 18,75%,12 of 16,0,3:46,0,0,66%,2 of 3,25 of 30,78%,18 of 23,0,1,http://ufcstats.com/fight-details/3a25be6438e3f94a
4 of 5,4 of 5,12 of 24,5 of 5,11 of 14,4 of 15,5 of 6,4 of 5,11 of 24,7 of 7,5 of 6,8 of 22,0:00,0,0,---,0 of 0,31 of 48,58%,20 of 34,0,2:43,0,0,50%,1 of 2,34 of 49,57%,20 of 35,0,2,http://ufcstats.com/fight-details/3a25be6438e3f94a
0 of 0,3 of 3,7 of 22,0 of 0,2 of 3,8 of 22,12 of 16,1 of 1,12 of 34,3 of 5,4 of 8,18 of 38,0:00,0,0,---,0 of 0,11 of 26,40%,10 of 25,0,2:41,0,0,100%,1 of 1,57 of 89,49%,25 of 51,0,3,http://ufcstats.com/fight-details/3a25be6438e3f94a
0 of 0,3 of 4,9 of 18,4 of 4,2 of 2,6 of 16,0 of 0,4 of 5,10 of 28,4 of 4,5 of 6,5 of 23,0:00,0,0,0%,0 of 8,13 of 23,54%,12 of 22,0,0:00,0,0,0%,0 of 1,15 of 34,42%,14 of 33,0,1,http://ufcstats.com/fight-details/6257627ba49e42ab
0 of 0,1 of 1,12 of 24,6 of 7,3 of 6,4 of 12,0 of 1,3 of 6,7 of 21,3 of 3,3 of 3,4 of 22,0:06,0,0,0%,0 of 4,14 of 26,52%,13 of 25,0,0:29,0,0,100%,1 of 1,10 of 28,35%,10 of 28,0,2,http://ufcstats.com/fight-details/6257627ba49e42ab
0 of 0,2 of 3,10 of 35,4 of 6,4 of 4,4 of 28,0 of 0,5 of 9,2 of 28,0 of 1,3 of 5,4 of 31,0:03,0,0,0%,0 of 5,12 of 38,31%,12 of 38,0,0:09,0,0,100%,1 of 1,7 of 37,18%,7 of 37,0,3,http://ufcstats.com/fight-details/6257627ba49e42ab
0 of 0,3 of 5,4 of 11,6 of 7,1 of 3,0 of 6,0 of 0,7 of 10,2 of 4,1 of 1,3 of 6,5 of 7,0:46,0,0,0%,0 of 1,8 of 18,43%,7 of 16,0,3:02,0,0,0%,0 of 7,29 of 41,64%,9 of 14,0,1,http://ufcstats.com/fight-details/c2f0a53cd67e1736
0 of 0,1 of 4,4 of 8,1 of 1,1 of 2,3 of 9,19 of 20,0 of 1,1 of 5,0 of 0,0 of 0,20 of 26,0:32,0,0,0%,0 of 1,5 of 12,41%,5 of 12,0,3:30,0,0,---,0 of 0,105 of 120,76%,20 of 26,0,2,http://ufcstats.com/fight-details/c2f0a53cd67e1736
0 of 0,5 of 9,3 of 7,0 of 0,2 of 2,6 of 14,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,1 of 4,0:00,0,0,---,0 of 0,8 of 16,50%,8 of 16,0,1:12,0,1,100%,1 of 1,1 of 4,25%,1 of 4,0,3,http://ufcstats.com/fight-details/c2f0a53cd67e1736
0 of 0,0 of 0,21 of 33,5 of 5,9 of 11,7 of 17,0 of 0,2 of 3,19 of 46,12 of 12,4 of 7,5 of 30,0:00,0,0,---,0 of 0,21 of 33,63%,21 of 33,0,0:19,0,0,0%,0 of 4,21 of 49,42%,21 of 49,0,1,http://ufcstats.com/fight-details/b34c608bdfa655e8
0 of 0,2 of 3,7 of 11,2 of 2,3 of 3,4 of 9,0 of 1,7 of 9,5 of 13,9 of 10,1 of 2,2 of 11,0:52,0,0,33%,1 of 3,13 of 18,64%,9 of 14,0,1:59,0,0,25%,1 of 4,30 of 45,52%,12 of 23,0,2,http://ufcstats.com/fight-details/b34c608bdfa655e8
0 of 0,0 of 1,13 of 26,6 of 6,3 of 7,4 of 14,0 of 0,5 of 5,7 of 26,3 of 5,1 of 5,8 of 21,0:00,0,0,---,0 of 0,13 of 27,48%,13 of 27,0,0:37,0,0,0%,0 of 3,12 of 31,38%,12 of 31,0,3,http://ufcstats.com/fight-details/b34c608bdfa655e8
1 of 1,1 of 2,1 of 4,0 of 0,1 of 3,2 of 4,1 of 2,1 of 3,1 of 8,0 of 0,1 of 1,2 of 12,0:00,0,0,---,0 of 0,5 of 10,42%,3 of 7,0,4:03,0,0,20%,1 of 5,29 of 42,23%,3 of 13,0,1,http://ufcstats.com/fight-details/0c36a08b1bf60f45
1 of 1,1 of 1,4 of 7,0 of 0,4 of 6,2 of 3,5 of 6,3 of 3,5 of 13,2 of 2,0 of 0,11 of 20,0:00,0,0,---,0 of 0,12 of 17,66%,6 of 9,0,3:30,0,0,25%,1 of 4,34 of 44,59%,13 of 22,0,2,http://ufcstats.com/fight-details/0c36a08b1bf60f45
5 of 5,0 of 0,2 of 5,1 of 1,0 of 0,6 of 9,10 of 14,0 of 0,0 of 2,0 of 0,0 of 0,10 of 16,0:42,1,2,---,0 of 0,16 of 19,70%,7 of 10,0,3:50,0,0,0%,0 of 1,32 of 43,62%,10 of 16,0,3,http://ufcstats.com/fight-details/0c36a08b1bf60f45
0 of 0,0 of 1,6 of 18,3 of 3,1 of 3,2 of 13,1 of 1,8 of 12,12 of 20,2 of 2,2 of 3,17 of 28,0:00,0,0,---,0 of 0,9 of 22,31%,6 of 19,0,1:43,0,0,50%,2 of 4,35 of 52,63%,21 of 33,0,1,http://ufcstats.com/fight-details/3c3da227fbe36a28
0 of 0,0 of 0,1 of 6,1 of 4,0 of 1,0 of 1,5 of 6,1 of 2,5 of 9,0 of 0,1 of 1,10 of 16,0:00,0,0,---,0 of 0,2 of 8,16%,1 of 6,0,1:17,0,1,100%,1 of 1,18 of 28,64%,11 of 17,0,2,http://ufcstats.com/fight-details/3c3da227fbe36a28
0 of 0,1 of 2,10 of 29,3 of 5,3 of 8,5 of 18,0 of 0,1 of 1,28 of 50,6 of 6,10 of 14,13 of 31,0:00,0,0,0%,0 of 1,13 of 33,35%,11 of 31,0,0:00,0,0,0%,0 of 1,29 of 51,56%,29 of 51,0,1,http://ufcstats.com/fight-details/419d8143afbcd61c
0 of 0,3 of 5,13 of 29,4 of 4,6 of 9,6 of 21,0 of 0,1 of 1,18 of 43,1 of 3,7 of 8,11 of 33,0:15,0,0,0%,0 of 3,18 of 36,47%,16 of 34,0,0:12,0,0,---,0 of 0,19 of 44,43%,19 of 44,0,2,http://ufcstats.com/fight-details/419d8143afbcd61c
1 of 1,2 of 3,5 of 22,1 of 1,1 of 6,6 of 19,0 of 0,0 of 1,16 of 32,0 of 0,9 of 10,7 of 23,1:12,0,0,33%,1 of 3,41 of 60,30%,8 of 26,0,0:19,0,0,100%,1 of 1,16 of 33,48%,16 of 33,0,3,http://ufcstats.com/fight-details/419d8143afbcd61c
0 of 0,1 of 2,10 of 27,2 of 2,3 of 5,6 of 22,0 of 0,5 of 5,11 of 39,8 of 11,3 of 3,5 of 30,0:00,0,0,0%,0 of 1,12 of 30,37%,11 of 29,0,0:36,0,0,0%,0 of 1,19 of 47,36%,16 of 44,0,1,http://ufcstats.com/fight-details/7d60cb78ea70fae0
0 of 0,0 of 0,12 of 38,1 of 1,2 of 4,9 of 33,0 of 0,0 of 3,16 of 51,6 of 7,2 of 6,8 of 41,0:00,0,0,---,0 of 0,12 of 38,31%,12 of 38,0,0:00,0,0,---,0 of 0,16 of 54,29%,16 of 54,0,2,http://ufcstats.com/fight-details/7d60cb78ea70fae0
0 of 0,0 of 0,6 of 17,0 of 0,1 of 1,5 of 16,2 of 2,6 of 10,8 of 33,5 of 5,4 of 7,7 of 33,0:00,0,0,---,0 of 0,7 of 18,35%,6 of 17,0,2:03,0,0,42%,3 of 7,19 of 48,35%,16 of 45,0,3,http://ufcstats.com/fight-details/7d60cb78ea70fae0
0 of 0,2 of 2,7 of 26,0 of 0,3 of 6,6 of 22,0 of 0,5 of 6,13 of 47,5 of 5,4 of 6,9 of 42,0:00,0,0,0%,0 of 2,9 of 28,32%,9 of 28,0,0:36,0,0,50%,1 of 2,18 of 53,33%,18 of 53,0,4,http://ufcstats.com/fight-details/7d60cb78ea70fae0
0 of 0,0 of 0,10 of 35,0 of 0,2 of 3,8 of 32,0 of 0,4 of 5,13 of 57,4 of 4,2 of 7,11 of 51,0:00,0,0,---,0 of 0,10 of 35,28%,10 of 35,0,0:28,0,0,33%,1 of 3,19 of 64,27%,17 of 62,0,5,http://ufcstats.com/fight-details/7d60cb78ea70fae0
0 of 0,0 of 0,2 of 8,1 of 3,0 of 1,1 of 4,9 of 11,0 of 0,4 of 6,2 of 2,2 of 2,9 of 13,0:00,0,0,---,0 of 0,4 of 10,25%,2 of 8,0,4:13,0,0,100%,1 of 1,30 of 39,76%,13 of 17,0,1,http://ufcstats.com/fight-details/1caec47dc08613a7
0 of 0,0 of 0,5 of 19,2 of 2,2 of 4,1 of 13,11 of 12,0 of 0,10 of 22,5 of 5,4 of 5,12 of 24,0:00,0,0,0%,0 of 1,6 of 20,26%,5 of 19,0,3:08,0,0,100%,2 of 2,44 of 60,61%,21 of 34,0,2,http://ufcstats.com/fight-details/1caec47dc08613a7
0 of 0,0 of 0,2 of 19,1 of 3,0 of 5,1 of 11,14 of 15,0 of 0,8 of 19,2 of 2,3 of 3,17 of 29,0:00,0,0,---,0 of 0,2 of 19,10%,2 of 19,0,3:31,0,0,100%,1 of 1,63 of 83,64%,22 of 34,0,3,http://ufcstats.com/fight-details/1caec47dc08613a7
2 of 3,4 of 5,9 of 29,1 of 1,3 of 5,11 of 31,6 of 14,3 of 7,6 of 17,0 of 0,3 of 6,12 of 32,0:05,0,0,100%,1 of 1,35 of 57,40%,15 of 37,0,2:49,0,0,50%,4 of 8,16 of 39,39%,15 of 38,0,1,http://ufcstats.com/fight-details/3b463d688d598a72
0 of 0,7 of 9,5 of 21,0 of 0,7 of 9,5 of 21,1 of 1,0 of 0,4 of 12,1 of 1,1 of 3,3 of 9,0:00,0,0,0%,0 of 1,37 of 56,40%,12 of 30,0,2:01,0,0,33%,1 of 3,9 of 17,38%,5 of 13,0,2,http://ufcstats.com/fight-details/3b463d688d598a72
0 of 0,9 of 14,6 of 15,0 of 0,4 of 7,11 of 22,5 of 6,2 of 2,8 of 12,0 of 0,0 of 0,15 of 20,0:00,0,0,---,0 of 0,26 of 41,51%,15 of 29,0,3:05,0,0,80%,4 of 5,18 of 23,75%,15 of 20,0,3,http://ufcstats.com/fight-details/3b463d688d598a72
0 of 0,8 of 14,7 of 21,1 of 1,2 of 3,12 of 31,10 of 16,9 of 11,6 of 15,6 of 6,2 of 4,17 of 32,0:32,0,0,---,0 of 0,15 of 35,42%,15 of 35,0,2:16,1,0,33%,1 of 3,44 of 67,59%,25 of 42,0,1,http://ufcstats.com/fight-details/14a40f30e0cb22c9
0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 1,16 of 26,0 of 0,2 of 7,1 of 1,0 of 0,17 of 32,0:00,0,0,---,0 of 0,0 of 1,0%,0 of 1,0,0:50,0,0,100%,1 of 1,20 of 35,54%,18 of 33,0,2,http://ufcstats.com/fight-details/14a40f30e0cb22c9
0 of 0,3 of 3,0 of 3,0 of 0,2 of 2,1 of 4,2 of 2,7 of 7,1 of 3,1 of 1,2 of 2,7 of 9,0:02,0,0,---,0 of 0,4 of 7,50%,3 of 6,0,4:34,0,0,57%,4 of 7,25 of 35,83%,10 of 12,0,1,http://ufcstats.com/fight-details/093ca77f7f7219f6
10 of 25,9 of 11,1 of 4,7 of 8,1 of 3,12 of 29,0 of 1,0 of 1,2 of 3,0 of 0,2 of 2,0 of 3,2:07,0,0,100%,1 of 1,30 of 53,50%,20 of 40,0,1:46,0,0,40%,2 of 5,12 of 15,40%,2 of 5,0,2,http://ufcstats.com/fight-details/093ca77f7f7219f6
2 of 8,4 of 5,0 of 1,4 of 5,0 of 0,2 of 9,0 of 2,0 of 1,0 of 4,0 of 0,0 of 1,0 of 6,4:25,0,1,50%,1 of 2,22 of 32,42%,6 of 14,0,0:00,0,0,---,0 of 0,17 of 24,0%,0 of 7,0,3,http://ufcstats.com/fight-details/093ca77f7f7219f6
0 of 0,7 of 8,7 of 18,7 of 8,4 of 5,3 of 13,1 of 1,10 of 12,3 of 15,4 of 5,5 of 7,5 of 16,0:24,0,0,0%,0 of 3,14 of 26,53%,14 of 26,0,1:47,0,0,100%,2 of 2,22 of 36,50%,14 of 28,0,1,http://ufcstats.com/fight-details/4702ef17c48bf1d1
0 of 0,4 of 5,8 of 23,5 of 7,5 of 5,2 of 16,0 of 0,1 of 4,3 of 9,2 of 2,1 of 3,1 of 8,0:03,0,0,0%,0 of 1,13 of 29,42%,12 of 28,0,1:09,0,0,33%,1 of 3,19 of 28,30%,4 of 13,0,2,http://ufcstats.com/fight-details/4702ef17c48bf1d1
0 of 0,2 of 2,4 of 21,4 of 8,2 of 3,0 of 12,4 of 5,2 of 3,3 of 8,2 of 2,2 of 3,5 of 11,0:00,0,0,---,0 of 0,9 of 27,26%,6 of 23,0,2:52,0,0,50%,4 of 8,22 of 34,56%,9 of 16,0,3,http://ufcstats.com/fight-details/4702ef17c48bf1d1
0 of 0,0 of 1,12 of 33,3 of 5,3 of 5,6 of 24,2 of 4,2 of 4,9 of 23,2 of 4,4 of 4,7 of 23,0:00,0,0,100%,1 of 1,12 of 34,35%,12 of 34,0,1:02,0,1,---,0 of 0,13 of 31,41%,13 of 31,1,1,http://ufcstats.com/fight-details/1e176413438fabd5
0 of 5,2 of 2,2 of 4,2 of 2,2 of 2,0 of 7,0 of 0,2 of 3,4 of 10,0 of 0,2 of 3,4 of 10,1:22,0,0,100%,1 of 1,15 of 24,36%,4 of 11,0,2:07,0,0,0%,0 of 3,6 of 13,46%,6 of 13,0,1,http://ufcstats.com/fight-details/97c302628f231da3
1 of 2,0 of 1,6 of 17,3 of 4,2 of 2,2 of 14,3 of 6,4 of 5,2 of 17,5 of 6,0 of 3,4 of 19,0:15,0,0,---,0 of 0,15 of 29,35%,7 of 20,0,2:04,0,0,33%,1 of 3,9 of 28,32%,9 of 28,0,2,http://ufcstats.com/fight-details/97c302628f231da3
0 of 0,4 of 5,5 of 11,5 of 6,0 of 0,4 of 10,0 of 0,3 of 3,2 of 7,3 of 3,0 of 0,2 of 7,0:54,0,0,0%,0 of 1,21 of 28,56%,9 of 16,0,2:14,0,1,40%,2 of 5,8 of 13,50%,5 of 10,0,3,http://ufcstats.com/fight-details/97c302628f231da3
0 of 0,0 of 0,6 of 16,0 of 0,1 of 2,5 of 14,9 of 15,0 of 0,4 of 24,0 of 1,0 of 0,13 of 38,0:00,0,0,---,0 of 0,6 of 16,37%,6 of 16,0,0:12,0,0,---,0 of 0,13 of 39,33%,13 of 39,1,1,http://ufcstats.com/fight-details/00684df5ed23e6ca
0 of 0,0 of 0,9 of 13,5 of 6,2 of 2,2 of 5,2 of 4,0 of 1,13 of 32,3 of 5,2 of 5,10 of 27,0:00,0,0,---,0 of 0,18 of 22,69%,9 of 13,0,2:17,0,0,100%,2 of 2,28 of 55,40%,15 of 37,0,1,http://ufcstats.com/fight-details/80551dceed42e7ab
0 of 0,0 of 0,9 of 19,4 of 5,4 of 4,1 of 10,5 of 5,0 of 0,26 of 50,5 of 6,6 of 8,20 of 41,0:00,0,0,---,0 of 0,11 of 21,47%,9 of 19,0,0:54,0,0,---,0 of 0,49 of 75,56%,31 of 55,0,2,http://ufcstats.com/fight-details/80551dceed42e7ab
4 of 6,4 of 5,3 of 5,2 of 2,4 of 4,5 of 10,5 of 7,1 of 4,0 of 4,1 of 1,2 of 3,3 of 11,2:15,0,0,66%,2 of 3,16 of 22,68%,11 of 16,0,2:12,1,1,100%,1 of 1,15 of 24,40%,6 of 15,0,1,http://ufcstats.com/fight-details/49749ee78bc54a48
0 of 1,7 of 11,9 of 26,2 of 2,4 of 6,10 of 30,6 of 13,4 of 4,7 of 22,0 of 0,2 of 4,15 of 35,0:00,0,0,---,0 of 0,16 of 39,42%,16 of 38,0,2:08,0,2,---,0 of 0,21 of 43,43%,17 of 39,1,2,http://ufcstats.com/fight-details/49749ee78bc54a48
0 of 0,0 of 0,9 of 33,0 of 0,3 of 7,6 of 26,0 of 0,0 of 0,3 of 47,0 of 0,0 of 2,3 of 45,0:00,0,0,0%,0 of 1,9 of 33,27%,9 of 33,0,0:00,0,0,0%,0 of 1,3 of 47,6%,3 of 47,0,1,http://ufcstats.com/fight-details/c13b2493018fc98b
0 of 0,2 of 4,6 of 23,1 of 2,1 of 2,6 of 23,0 of 0,3 of 7,2 of 32,1 of 1,1 of 1,3 of 37,0:00,0,0,0%,0 of 1,8 of 27,29%,8 of 27,0,0:36,0,0,0%,0 of 3,5 of 39,12%,5 of 39,0,2,http://ufcstats.com/fight-details/c13b2493018fc98b
7 of 8,23 of 24,5 of 17,21 of 22,2 of 3,12 of 24,0 of 0,0 of 1,1 of 21,0 of 0,0 of 0,1 of 22,1:38,1,0,0%,0 of 3,35 of 49,71%,35 of 49,0,0:03,0,0,50%,1 of 2,4 of 26,4%,1 of 22,0,3,http://ufcstats.com/fight-details/c13b2493018fc98b
0 of 0,0 of 0,15 of 42,3 of 4,0 of 2,12 of 36,3 of 4,0 of 0,13 of 35,1 of 1,0 of 0,15 of 38,0:00,0,0,---,0 of 0,17 of 44,35%,15 of 42,0,2:08,0,0,50%,1 of 2,48 of 76,41%,16 of 39,0,1,http://ufcstats.com/fight-details/57b986d06bde71c2
0 of 0,3 of 4,11 of 34,1 of 1,0 of 0,13 of 37,0 of 0,4 of 11,29 of 52,0 of 0,2 of 2,31 of 61,0:00,0,0,---,0 of 0,16 of 40,36%,14 of 38,0,2:35,0,0,50%,1 of 2,56 of 91,52%,33 of 63,0,2,http://ufcstats.com/fight-details/57b986d06bde71c2
0 of 0,0 of 0,3 of 7,0 of 0,0 of 0,3 of 7,32 of 38,2 of 2,0 of 1,0 of 0,1 of 1,33 of 40,0:00,0,0,---,0 of 0,6 of 10,42%,3 of 7,0,4:39,0,0,100%,2 of 2,125 of 149,82%,34 of 41,0,3,http://ufcstats.com/fight-details/57b986d06bde71c2
0 of 0,0 of 2,1 of 5,0 of 0,0 of 0,1 of 7,17 of 20,2 of 5,5 of 6,0 of 0,4 of 4,20 of 27,0:00,0,0,---,0 of 0,7 of 13,14%,1 of 7,0,4:27,0,0,100%,1 of 1,62 of 75,77%,24 of 31,0,4,http://ufcstats.com/fight-details/57b986d06bde71c2
0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,0 of 2,5 of 5,0 of 0,1 of 1,0 of 0,0 of 0,6 of 6,0:00,0,0,---,0 of 0,0 of 2,0%,0 of 2,0,2:40,0,0,100%,1 of 1,70 of 73,100%,6 of 6,0,5,http://ufcstats.com/fight-details/57b986d06bde71c2
0 of 0,0 of 0,2 of 7,2 of 2,0 of 0,0 of 5,3 of 3,0 of 0,7 of 11,1 of 1,0 of 1,9 of 12,0:00,0,0,---,0 of 0,2 of 7,28%,2 of 7,0,0:04,0,0,---,0 of 0,10 of 14,71%,10 of 14,1,1,http://ufcstats.com/fight-details/7ec24848cac6c5a1
0 of 0,0 of 0,3 of 5,0 of 0,0 of 0,3 of 5,0 of 0,11 of 17,9 of 21,1 of 1,1 of 4,18 of 33,0:00,0,0,---,0 of 0,3 of 5,60%,3 of 5,0,0:00,0,0,---,0 of 0,20 of 38,52%,20 of 38,0,1,http://ufcstats.com/fight-details/0fa31c9f7495810b
0 of 0,0 of 0,4 of 28,0 of 0,0 of 3,4 of 25,0 of 0,2 of 2,8 of 24,3 of 5,2 of 4,5 of 17,1:30,0,0,50%,1 of 2,4 of 28,14%,4 of 28,0,0:07,0,1,0%,0 of 1,19 of 35,38%,10 of 26,0,1,http://ufcstats.com/fight-details/418b6f692abe9e35
0 of 0,0 of 0,15 of 40,1 of 1,4 of 10,10 of 29,0 of 0,1 of 2,6 of 23,2 of 6,0 of 3,5 of 16,0:58,0,0,50%,1 of 2,16 of 41,37%,15 of 40,0,0:07,1,0,---,0 of 0,15 of 33,28%,7 of 25,0,1,http://ufcstats.com/fight-details/4f722e80eadb6d2f
0 of 0,0 of 0,17 of 52,0 of 0,4 of 11,13 of 41,2 of 3,1 of 1,11 of 32,0 of 2,1 of 1,13 of 33,1:02,0,0,33%,1 of 3,22 of 57,32%,17 of 52,0,0:02,0,0,---,0 of 0,19 of 41,38%,14 of 36,1,2,http://ufcstats.com/fight-details/4f722e80eadb6d2f
0 of 0,0 of 0,5 of 19,1 of 2,0 of 2,4 of 15,0 of 0,0 of 0,7 of 19,4 of 6,1 of 1,2 of 12,1:12,0,1,33%,1 of 3,5 of 20,26%,5 of 19,0,0:01,0,0,---,0 of 0,8 of 20,36%,7 of 19,0,1,http://ufcstats.com/fight-details/43baf5b905686ebf
2 of 4,1 of 5,4 of 9,0 of 1,0 of 0,7 of 17,8 of 19,0 of 0,1 of 7,3 of 7,1 of 1,5 of 18,1:48,0,1,33%,1 of 3,17 of 30,38%,7 of 18,1,2:03,1,0,---,0 of 0,20 of 40,34%,9 of 26,0,2,http://ufcstats.com/fight-details/43baf5b905686ebf
0 of 0,2 of 2,9 of 28,1 of 2,2 of 4,8 of 24,1 of 1,0 of 0,14 of 36,9 of 14,0 of 0,6 of 23,0:00,0,0,0%,0 of 2,11 of 30,36%,11 of 30,0,0:01,0,0,---,0 of 0,16 of 38,40%,15 of 37,0,3,http://ufcstats.com/fight-details/43baf5b905686ebf
0 of 0,0 of 0,2 of 8,1 of 1,0 of 0,1 of 7,2 of 2,0 of 0,6 of 11,0 of 0,0 of 0,8 of 13,0:00,0,0,---,0 of 0,2 of 8,25%,2 of 8,0,0:04,0,0,---,0 of 0,8 of 13,61%,8 of 13,1,1,http://ufcstats.com/fight-details/f208b79b0d78045b
2 of 2,3 of 6,2 of 9,0 of 0,1 of 3,6 of 14,7 of 11,10 of 15,4 of 14,0 of 0,4 of 5,17 of 35,1:18,0,0,33%,1 of 3,8 of 18,41%,7 of 17,0,2:14,0,1,---,0 of 0,33 of 55,52%,21 of 40,0,1,http://ufcstats.com/fight-details/e4549c57faca7a64
2 of 2,10 of 13,4 of 6,3 of 3,8 of 10,5 of 8,0 of 0,16 of 23,3 of 7,0 of 0,6 of 8,13 of 22,0:38,0,1,50%,1 of 2,23 of 28,76%,16 of 21,2,3:26,0,0,25%,1 of 4,39 of 52,63%,19 of 30,0,1,http://ufcstats.com/fight-details/8a39075a9ffaa971
