F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,2 of 10,6 of 19,1 of 2,2 of 3,5 of 24,0 of 0,10 of 18,21 of 41,3 of 5,4 of 7,24 of 47,0:16,0,0,---,0 of 0,11 of 32,27%,8 of 29,0,1:23,0,0,14%,1 of 7,40 of 68,52%,31 of 59,0,2,http://ufcstats.com/fight-details/5510b86a35c5614b
17 of 21,0 of 0,1 of 1,0 of 0,0 of 0,18 of 22,1 of 2,0 of 0,1 of 2,1 of 1,0 of 0,1 of 3,2:09,0,0,---,0 of 0,51 of 55,81%,18 of 22,1,2:33,0,1,50%,1 of 2,12 of 14,50%,2 of 4,0,3,http://ufcstats.com/fight-details/5510b86a35c5614b
0 of 0,0 of 0,8 of 22,7 of 12,1 of 5,0 of 5,2 of 2,0 of 0,20 of 36,6 of 6,7 of 9,9 of 23,0:00,0,0,---,0 of 0,8 of 22,36%,8 of 22,0,0:01,0,0,---,0 of 0,22 of 38,57%,22 of 38,1,1,http://ufcstats.com/fight-details/40c080d0f86f1f1f
0 of 0,1 of 2,6 of 34,4 of 6,0 of 2,3 of 28,5 of 6,1 of 3,1 of 12,0 of 0,0 of 0,7 of 21,0:06,0,0,0%,0 of 1,7 of 36,19%,7 of 36,0,1:43,0,0,100%,1 of 1,20 of 35,33%,7 of 21,0,1,http://ufcstats.com/fight-details/e0df5f84686586a1
0 of 0,4 of 6,11 of 33,4 of 4,6 of 13,5 of 22,1 of 3,4 of 9,6 of 26,0 of 0,3 of 5,8 of 33,0:00,0,0,---,0 of 0,16 of 40,38%,15 of 39,0,0:54,0,0,100%,1 of 1,22 of 49,28%,11 of 38,0,2,http://ufcstats.com/fight-details/e0df5f84686586a1
0 of 0,6 of 10,4 of 16,3 of 7,4 of 5,3 of 14,4 of 4,5 of 7,0 of 5,0 of 0,0 of 0,9 of 16,2:01,0,0,50%,2 of 4,17 of 33,38%,10 of 26,0,1:26,1,0,---,0 of 0,21 of 29,56%,9 of 16,0,3,http://ufcstats.com/fight-details/e0df5f84686586a1
0 of 0,2 of 3,8 of 46,0 of 0,4 of 7,6 of 42,4 of 4,1 of 2,17 of 38,0 of 0,2 of 3,20 of 41,0:00,0,0,0%,0 of 3,12 of 51,20%,10 of 49,0,1:03,0,0,---,0 of 0,23 of 45,50%,22 of 44,0,4,http://ufcstats.com/fight-details/e0df5f84686586a1
0 of 0,1 of 3,8 of 44,2 of 4,3 of 4,4 of 39,0 of 1,3 of 7,10 of 35,1 of 1,0 of 2,12 of 40,0:00,0,0,0%,0 of 1,9 of 48,19%,9 of 47,0,2:00,0,0,50%,1 of 2,20 of 51,30%,13 of 43,0,5,http://ufcstats.com/fight-details/e0df5f84686586a1
0 of 0,5 of 8,8 of 32,1 of 1,5 of 8,7 of 31,6 of 7,11 of 13,7 of 27,3 of 4,9 of 11,12 of 32,1:38,0,0,0%,0 of 1,23 of 52,32%,13 of 40,0,1:51,0,0,50%,2 of 4,43 of 67,51%,24 of 47,0,1,http://ufcstats.com/fight-details/81c5c897717a1ef6
0 of 0,9 of 11,6 of 29,1 of 1,6 of 8,8 of 31,1 of 4,4 of 8,6 of 27,1 of 1,2 of 4,8 of 34,2:19,0,0,0%,0 of 1,50 of 76,37%,15 of 40,0,1:04,0,0,50%,1 of 2,57 of 91,28%,11 of 39,0,2,http://ufcstats.com/fight-details/81c5c897717a1ef6
